"lemma_id","lemma","jp_pron","kr_pron","kr_mean","level","en_mean"
27775,鳴く,なく,나쿠,울다,N3,to sing/cry (animal)
25440,店長,てんちょう,텐쵸우,점장,N1,store manager
34951,本音,ほんね,혼네,본심,N4,real intention; true motive
11711,幻想,げんそう,겐소우,환상,N3,Fantasy; illusion; vision
3593,うんと,うんと,운토,엄청,N1,A great deal; very much
6057,書き写す,かきうつす,카키우츠스,받아적다,N1,To transcribe; to copy
5591,蚊,か,카,모기,N3,Mosquito
3803,餌,えさ,에사,먹이주기,N4,Feed; bait; animal food
24469,捕まえる,つかまえる,츠카마에루,붙잡다,N3,"to catch, to arrest, to seize"
22110,集る,たかる,타카루,꾀여들다,N1,"to gather, to swarm, to extort"
168,間,あいだ,아이다,사이,N5,Interval; space; between
20323,蝉,せみ,세미,매미,N3,cicada
19646,ずばり,ずばり,즈바리,정곡을 찔러,N2,"decisively, frankly, right on the mark"
15694,しぶとい,しぶとい,시부토이,끈질기다,N1,Tenacious; stubborn; persistent
18995,吸う,すう,스우,빨다,N3,"to smoke, to inhale, to suck"
50781,螽斯,きりぎりす,키리기리스,여치,N1,long-horned grasshopper
1668,生き返る,いきかえる,이키카에루,소생하다,N1,To be resuscitated; to come back to life
18860,巣,す,스,"둥지,거미집",N4,"nest, den, hive"
40714,列,れつ,레츠,열,N4,line; row; queue
13215,昆虫,こんちゅう,콘츄으,곤충,N4,Insect; bug
14173,差す-他動詞,さす,사스,"물다, 꽃다, 짚다",N4,To stretch out (hands); to hold (umbrella)
10997,軽率,けいそつ,케이소츠,경솔,N3,Rashness; thoughtlessness; careless
10142,クジュウ,くじゅう,쿠쥬우,구중,N1,Ninety (archaic/rare reading)
9065,九拝,きゅうはい,큐우하이,구배,N1,Kowtow; bowing nine times (respectful)
55730,蜂,はち,하치,벌,N3,Bee; wasp; hornet
38661,優勝,ゆうしょう,유우쇼우,우승,N4,victory; championship
43261,蜜,みつ,미츠,꿀,N2,honey; nectar; molasses
55588,外敵,がいてき,가이테키,외적,N1,Foreign enemy
39400,夜長,よなが,요나가,긴 밤,N2,long night
42641,蟻,あり,아리,개미,N2,ant
40361,厘,りん,린,리,N2,Rin (monetary unit/length)
38684,優先,ゆうせん,유우센,우선,N4,priority
38016,漏れ,もれ,모레,누출,N2,leak; omission
36116,周り,まわり,마와리,주변,N5,circumference; surroundings
36971,みんみん,みんみん,민민,맴맴,N2,buzzing (cicada sound)
36746,見抜く,みぬく,미누쿠,간파하다,N3,to see through; to perceive
32613,副業,ふくぎょう,후쿠교우,부업,N2,side job; sideline
11974,交響,こうきょう,코우쿄우,교향,N1,Symphony
194506,絹糸,きぬいと,키누이토,명주실,N1,Silk thread
11072,競輪,けいりん,케이린,경륜,N1,Bicycle racing
33380,物質,ぶっしつ,붓시츠,물질,N2,matter; substance; material
5698,蚕,かいこ,카이코,누에,N4,Silkworm
33410,ぶつぶつ,ぶつぶつ,부츠부츠,중얼중얼,N3,grumbling; muttering; spots/pimples
172271,虫籠,むしかご,무시카고,곤충 채집통,N1,Insect cage
28768,音色,ねいろ,네이로,음색,N3,Tone color / timbre
8284,黄色い,きいろい,키이로이,노란,N4,Yellow
18659,女王,じょおう,죠오우,여왕,N1,queen
9160,競泳,きょうえい,쿄우에이,경영,N1,Swimming race
29822,蜂蜜,はちみつ,하치미츠,벌꿀,N2,Honey
26924,蜻蛉,とんぼ,톤보,잠자리,N3,dragonfly
7620,観衆,かんしゅう,칸슈우,관중,N1,Spectators; onlookers; audience
8202,願書,がんしょ,간쇼,원서,N1,Application; written petition
23047,台所,だいどごろ,다이도고로,부엌,N4,kitchen
20054,世界,せかい,세카이,세계,N5,"world, society"
7651,勘定,かんじょう,칸죠우,계산,N1,Calculation; bill; account
4174,縁側,えんがわ,엔가와,툇마루,N3,Veranda; porch (traditional Japanese)
3428,裏,うら,우라,뒤,N5,Back; rear; reverse side; inside
5414,音響,おんきょう,온쿄우,음향,N1,Sound; echo; acoustics
23532,地上,ちじょう,치죠우,지상,N2,"above ground, on the earth"
2028,痛む,いたむ,이타무,아프다,N4,To hurt; to feel pain
19286,既に,すでに,스데니,이미,N4,"already, previously"
1176,有り,あり,아리,개미,N3,Existence; (suffix) including
968,油虫,あぶらむし,아부라무시,진디,N1,Aphid; cockroach (slang)
67041,蜜蜂,みつばち,미츠바치,꿀벌,N2,Honeybee
64000,月見,つきみ,츠키미,달맞이,N2,Moon viewing
16025,種,たね(じゅ),타네(쥬),씨(종),N3,Kind; variety; species
52800,益虫,えきちゅう,에키츄우,익충,N1,beneficial insect
20654,専門,せんもん,센몬,전문,N5,"specialty, expertise, major"
66083,働き蜂,はたらきばち,하타라키바치,일벌,N1,Worker bee
39125,幼虫,ゆうちゅう,유우츄우,유충,N2,larva
21810,退治,たいじ,타이지,퇴치,N1,"extermination, suppression"
13419,ごきぶり,ごきぶり,고키부리,바퀴벌레,N2,Cockroach
37097,虫捕り,むしとり,무시토리,벌레잡이,N2,insect catching
15917,謝罪,しゃざい,샤자이,사죄,N4,Apology
9275,驚嘆,きょうたん,쿄우탄,경탄,N1,Admiration; wonder; marvel
14376,様々,さまざま,사마자마,여러,N4,Various; varied
14063,探る,さぐる,사구루,찾다,N2,To feel around; to probe; to explore
48273,蟋蟀,こおろぎ,코오로기,귀뚜라미,N1,cricket (insect)
40358,理論,りろん,리론,이론,N4,theory
56627,鈴虫,すずむし,스즈무시,방울벌레,N1,Bell cricket
9899,仰視,ぎょうし,교우시,앙시 (우러러봄),N1,Looking up
39061,養蚕,ようさん,요우산,양잠,N2,sericulture (silk farming)
40558,礼,れい,레이,예의,N4,bow; gratitude; etiquette
35641,正に,まさに,마사니,바로,N4,exactly; surely; just
9382,局地,きょくち,쿄쿠치,국지,N1,Local; limited area
29076,逃す,のがす,노가스,놓치다,N4,To let go / to miss (an opportunity)
23828,中心,ちゅうしん,츄우신,중심,N4,"center, core, focus"
28238,肉食,にくしょく,니쿠쇼쿠,육식,N1,"carnivorous, meat-eating"
32612,複眼,ふくがわ,후쿠가와,"겹눈,복안",N1,compound eye
33413,物理,ぶつり,부츠리,물리,N4,physics; law of nature
32946,太る,ふとる,후토루,살찌다,N4,to grow fat; to gain weight
33424,無難,ぶなん,부난,무난,N1,safe; acceptable; passable
7199,蚊帳,かや,카야,모기장,N1,Mosquito net
7337,枯れ葉,かれは,카레하,마른 잎,N1,Dead leaf; dry leaf
30372,繁殖,はんしょく,한쇼쿠,번식,N2,breeding; multiplication; reproduction
28695,抜き取る,ぬきとる,누키토루,훔치다,N1,"to extract, to pull out, to pilfer"
24819,吊る,つる,츠루,달다,N3,"to hang, to suspend"
7050,鎌,かま,카마,낫,N4,Sickle; scythe
24534,付く,つく,츠쿠,붙다,N5,"to be attached, to adhere, to accompany"
5456,女,おんな(じょ),온나(죠),여자(여),N5,Woman; female
20893,全滅,ぜんめつ,젠메츠,전멸,N1,"annihilation, total destruction"
3393,生む,うむ,우무,낳다,N4,To give birth to; to produce; to yield
17219,仕業,しわざ,시와자,"소치, 행위",N1,"act, deed, handiwork (often negative)"
21337,そっくり,そっくり,솟쿠리,"전부,그대로",N2,"all, altogether, just like"
1700,生き物,いきもの,이키모노,생물,N2,Living thing; creature
4980,襲う,おそう,오소우,습격하다,N3,To attack; to visit; to succeed to
5112,驚かす,おどろかす,오도로카스,놀래키다,N2,To surprise; to frighten; to astonish
3027,羽化,うか,우카,"번데기가 성충이 됨,우화",N1,Emergence (of an insect); eclosion
334,暁,あかつき,아카츠키,"새벽,그날",N1,Dawn; daybreak; (in the) event of
11437,懸命,けんめい,켄메이,결사적으로 함,N3,Eager; earnest; risky
19405,滑る,すべる,스베루,미끄러지다,N4,"to slide, to slip, to fail an exam"
18924,すいすい,すいすい,스이스이,쓱쓱,N1,"smoothly, easily"
15355,静まり返る,しずまりかえる,시즈마리카에루,아주 조용하다,N4,To fall dead silent
46532,水黽,あめんぼ,아멘보,소금쟁이,N1,water strider
48902,蚊取り,かとり,카토리,모기향,N1,mosquito catcher/repellent
67558,百足,むかで,무카데,지네,N1,Centipede
14590,三十,さんじゅう,산쥬우,삼심,N4,Thirty
37224,群れ,むれ,무레,무리,N3,group; crowd; flock
14039,作物,さくもつ,사쿠모츠,작물,N2,Produce; crops
34681,捕食,ほしょく,호쇼쿠,포식,N2,predation; preying upon
59209,田亀,たがめ,타가메,물장군,N1,Giant water bug
55245,罪業,ざいごう,자이고우,죄업,N1,Sin; crime; karma
47353,芋虫,いもむし,이모무시,애벌레,N1,caterpillar
53412,擬態,ぎだい,기다이,의태,N1,mimicry; camouflage
35467,前足,まえあし,마에아시,앞발,N2,forefoot; front leg
42299,壁蝨,だに,다니,진드기,N1,tick; mite
48516,仰せ,おうせ,오우세,분부,N1,statement (honorific); command
14492,触る,さわる,사와루,만지다,N3,To touch; to feel
13345,業,"わざ(ごう,ぎょう)","와자(고우,교우)",업,N4,Work; karma; deed; act
38417,病,"やまい, やむ(びょう, へい)","야마이, 야무(뵤우, 헤이)",병,N2,illness; disease
36050,丸い,まるい,마루이,둥근,N4,round; circular
35761,待ち構える,まちかまえる,마치카마에루,벼르고 기다리다,N2,to lie in wait; to be on the watch
32967,赴任,ふにん,후닌,부임,N2,moving to a new post
8205,頑丈,がんじょう,간죠우,"튼튼함,완장",N1,Sturdy; solid; durable
2515,嫌,"いや, きらう(けん, げん)","이야, 키라우(켄, 겐)",싫음,N5,Disagreeable; detestable; unpleasant
33428,部品,ぶひん,부힌,부품,N4,parts; accessories; components
912,彼の,あの,아노,저,N5,His; that
62736,抜け殻,ぬけがら,누케가라,허물,N2,Cast-off skin (snake/cicada); shell of a person
7637,関心,かんしん,칸신,관심,N3,Interest; concern
26368,とことん,とことん,토코톤,마지막,N1,"to the end, thoroughly"
30217,針,はり(しん),하리(신),바늘(침),N3,needle; pin; hand (of a clock); sting
2505,妹,いもうと,이모우토,여동생,N5,Younger sister
7665,完成,かんせい,칸세이,완성,N4,Completion; perfection
16166,集団,しゅうだん,슈우단,집단,N2,"group, mass, crowd"
7671,歓声,かんせい,칸세이,환성. 환호성,N4,Cheers; shout of joy
7682,関税,かんぜい,칸제이,관세,N1,Customs duty; tariff
3895,越冬,えっとう,엣토우,월동,N1,Passing the winter; hibernation
68831,洋弓,ようきゅる,요우큐루,양궁,N1,Western bow (archery)
18345,受粉,じゅふん,쥬훈,수분,N1,pollination
28784,願い,ねがい,네가이,소원,N4,Wish / desire / prayer
15397,舌,した,시타,혀,N3,Tongue
9258,共生,きょうせい,쿄우세이,공생,N1,Symbiosis; coexistence
13129,怖い,こわい,코와이,무섭다,N5,Scary; frightening
8550,寄生,きせい,키세이,기생,N4,Parasitism; parasite
180112,虫眼,むしめ,무시메,곤충 눈,N1,Compound eye; insect's eye view
17811,事件,じけん,지켄,사건,N5,"event, incident, case"
27201,毒,どく,도쿠,독,N2,"poison, venom"
68907,幼生,ようせい,요우세이,"유충,유생",N1,Larva; immature stage
38625,有機,ゆうき,유우키,유기,N2,organic
69344,弱虫,よわむし,요와무시,겁쟁이,N1,Coward; weakling
66084,働き者,はたらきもの,하타라키모노,부지런한 일꾼,N1,Hard worker
13121,衣替え,ころもがえ,코로모가에,옷을갈아입음,N2,Seasonal change of clothing
29980,話,はなし,하나시,말,N5,Talk / story
22116,互い,たがい,타가이,서로,N4,"mutual, each other"
54844,凝り性,こりしょう,코리쇼우,열중하는 성격,N1,Fastidious; enthusiastic; perfectionist
25074,敵,てき,테키,적,N4,"enemy, rival"
27768,泣き虫,なきむし,나키무시,울보,N1,crybaby
49582,亀虫,かめむし,카메무시,노린재,N1,stink bug
24527,次,つぎ,츠기,다음,N5,"next, following"
23816,注射,ちゅうしゃ,츄우샤,주사,N2,"injection, shot"
21645,他,た(おか),타(오카),다른,N4,"other, another"
50933,弓道,きゅうどう,큐우도우,궁도,N1,Japanese archery
35091,防虫,ぼうちゅう,보우츄우,방충,N1,mothproofing; insect repellent
17118,知らせ,しらせ,시라세,소식,N4,"notice, news, omen"
9349,強烈,きょうれつ,쿄우레츠,강렬,N3,Strong; intense; severe
44458,やご,やご,야고,"잠자리 유충,수채",N1,dragonfly nymph
63264,羽音,はおと,하오토,날갯짓소리,N1,Sound of wings
63902,早技,はやわざ,하야와자,빠른 손놀림,N1,Quick trick; rapid feat
39882,利益,りえき,리에키,이익,N4,profit; benefit
36533,道程,みちのり,미치노리,"여정,도정",N1,journey; distance; path
36314,幹,みき,미키,줄기,N2,trunk (of a tree); main part
32740,相応しい,ふさわしい,후사와시이,어울리다,N1,appropriate; suitable; fitting
4401,応援,おうえん,오우엔,응원,N3,Support; cheering; aid
8991,休止,きゅうし,큐우시,휴지 (일시 정지),N1,Pause; suspension; cessation
6991,花瓶,かびん,카빈,화분,N4,(Flower) vase
6984,鞄,かばん,카방,가방,N5,Bag; briefcase; basket
10030,空港,くうこう,쿠우코우,공항,N5,Airport
32981,吹雪,ふぶき,후부키,눈보라,N2,snowstorm; blizzard
5979,返る,かえる,카에루,돌아가다,N5,To return; to go back
32978,不服,ふふく,후후쿠,불복함,N1,dissatisfaction; objection
5220,思い,おもい,오모이,"생각, 마음",N4,Thought; feeling; affection
33429,部分,ぶぶん,부분,부분,N3,part; portion; section
29538,歯痒い,はがゆい,하가유이,안타깝다,N1,Impatient / irritatingly slow
27274,土壇場,どたんば,도탄바,막판,N1,"the last moment, critical moment"
7675,間接,かんせつ,칸세츠,간접,N3,Indirect
6591,家族,かぞく,카조쿠,가족,N5,Family
26481,咄嗟,とっさ,톳사,"순간,돌차",N1,"moment, instant"
4799,起きる,おきる,오키루,일어나다,N5,To get up; to occur; to wake up
50932,旧道,きゅうどう,큐우도우,구도로,N1,old road
22518,たどたどしい,たどたどしい,타도타도시이,더듬거리는,N1,"faltering, tottering, awkward"
26487,トットリ,トットリ,톳토리,톳토리 (지명),N1,Tottori (place name)
24298,珍味,ちんみ,친미,진미,N1,delicacy
24598,辻褄,つじつま,츠지츠마,앞뒤,N1,"coherence, consistency"
5577,化,か,카,화,N4,(Suffix for -ization)
2401,命,いのち,이노치,목숨,N4,Life; existence
24553,作り上げる,つくりあげる,츠쿠리아게루,만들어내다,N3,"to build up, to complete, to fabricate"
22695,躊躇う,ためらう,타메라우,망설이다,N2,"to hesitate, to waver"
741,頭,あたま,아타마,머리,N5,Head; top; leader
19478,住む,すむ,스무,살다,N4,"to live, to reside"
16154,収束,しゅうそく,슈우소쿠,"수렴,수속",N1,"convergence, settlement, conclusion"
33950,下手,へた,헤타,서투르다,N4,unskillful; poor; awkward
35816,全く,まったく,맛타쿠,전혀,N4,really; entirely; (not) at all
71274,素っ気ない,そっけない,솟케나이,퉁명스럽다,N1,Cold; blunt; curt
193699,澄まし顔,すましかお,스마시카오,시치미 떼는 얼굴,N1,Composed face / Prim look
17281,新旧,しんきゅう,신큐우,신구,N2,new and old
40336,旅行,りょこう,료코우,여행,N5,travel; trip
13874,坂,さか,사카,고갯길,N1,Slope; hill
13973,砂丘,さきゅう,사큐우,"사구, 모래 언덕",N1,Dune; sand hill
11680,現象,げんしょう,겐쇼우,현상,N4,Phenomenon
11968,高級,こうきゅう,코우큐우,고급,N4,High-class; high-grade; luxury
12119,更新,こうしん,코우신,갱신,N4,Renewal; update
87861,話し掛ける,はなしかける,하나시카케루,말을걸다,N3,To strike up a conversation
71283,艶めかしい,なまめかしい,나마메카시이,요염하다,N1,Voluptuous; seductive; sexy
64054,佃煮,つくだに,츠쿠다니,조림,N1,Tsukudani (food boiled in soy sauce)
66778,水の泡,みずのあわ,미즈노아와,물거품,N1,Coming to nothing; bubbles
37395,目覚ましい,めざましい,메자마시이,눈부시다,N1,remarkable; brilliant; spectacular
35084,呆然,ぼうぜん,보우젠,망연,N1,dumbfounded; in a daze
32982,不平,ふへい,후헤이,불평,N2,complaint; discontent
18529,上司,じょうし,죠우시,상사,N5,"boss, superior"
32990,父母,ふぼ,후보,부모,N2,parents; father and mother
8316,機械,きかい,키카이,기계,N4,Machine; mechanism
36926,見る見る,みるみる,미루미루,보고 있는 동안에,N1,before one's very eyes; quickly
26363,遂げる,とげる,토게루,이루다,N3,"to accomplish, to achieve"
50235,きっかり,かっかり,킷카리,정각,N2,exactly; precisely
8096,がっくり,がっくり,갓쿠리,푹,N1,Heartbroken; crestfallen; sharp drop
7187,醸し出す,かもしだす,카모시다스,자아내다,N2,To exude; to give rise to (an atmosphere)
32991,踏まえる,ふまえる,후마에루,근거로 하다,N2,to be based on; to take into account
33002,踏切,ふみきり,후미키리,건널목,N3,railroad crossing
6330,箇国,かこく,카코쿠,개국,N1,(Counter for) countries
6112,蝸牛,かぎゅう,카규우,달팽이,N1,Snail
14238,さっさと,さっさと,삿사토,얼른,N1,Quickly; promptly
26266,解く,とく,토쿠,풀다,N4,"to untie, to solve, to answer"
24547,熟,つくづく,츠쿠드쿠,"지그시,절실히",N4,"really, carefully, thoroughly"
16274,宿題,しゅくだい,슈쿠다이,숙제,N4,homework
61732,てっきり,てっきり,텟키리,틀림없이,N2,Surely; for certain (often used with incorrect assumptions)
3206,内,うち,우치,"안, 사이",N5,Inside; within; among
782,あっさり,あっさり,앗사리,깔끔히,N2,Easily; simply; lightly (flavor)
48601,がっしり,がっしり,갓시리,다부지다,N2,firmly; solidly built
39481,読み耽る,よみふける,요미후케루,열중해서 읽다,N1,to be absorbed in reading
1171,現われる,あらわれる,아라와레루,나타나다,N4,To appear; to emerge; to come out
24951,定休,ていきゅう,테이큐우,정기휴일,N1,"regular holiday, fixed day off"
19121,少ない,すくない,스쿠나이,적다,N5,"few, little, scarce"
41255,和食,わしょく,와쇼쿠,일식,N2,Japanese food/cuisine
23724,ちゃんと,ちゃんと,챤토,잘,N5,"properly, exactly, perfectly"
44616,不朽,ふきゅう,후큐우,불후,N1,immortal; undying; eternal
21636,ぞんざい,ぞんざい,존자이,거칢,N1,"rough, careless, impolite"
8927,気休め,きやすめ,키야스메,"위안, 입술 서비스",N1,Mere consolation; temporary relief
12803,こっそり,こっそり,콧소리,몰래 살짝,N2,Stealthily; secretly
20842,喘息,ぜんそく,젠소쿠,천식,N1,asthma
15184,試験,しけん,시켄,시험,N5,Examination; test; experiment
13407,誤解,ごかい,고카이,오해,N4,Misunderstanding
21403,蕎麦粉,そばこ,소바코,메밀가루,N1,buckwheat flour
15522,しっとり,しっとり,싯토리,촉촉하다,N2,Moist; damp; calm/settle
13772,裁断,さいだん,사이단,재단,N1,Judgment; cutting (cloth/paper)
10533,車,くるま(しゃ),쿠루마(샤),차,N5,Car; vehicle; wheel
34325,ぺらぺら,ぺらぺら,페라페라,"재잘재잘,술술",N1,fluent; thin/flimsy; flipping pages
37864,もどかしい,もどかしい,모도카시이,답답하다,N1,frustrating; irritatingly slow
38021,脆い,もろい,모로이,깨지기 쉽다,N2,fragile; brittle; weak
38516,ややこしい,ややこしい,야야코시이,복잡하다,N1,complicated; confusing
35192,ぼつぼつ,ぼつぼつ,보츠보츠,드문드문,N1,gradually; here and there; pimples
11321,検察,けんさつ,켄사츠,검찰,N1,Prosecution; prosecutor
7689,感想,かんそう,칸소우,소감,N3,Impressions; thoughts; feedback
18831,尽力,じんりょく,진료쿠,힘쓰다,N2,"efforts, exertion"
7686,簡素,かんそ,칸소,간소,N1,Simple; plain
33005,踏み込む,ふみこむ,후미코무,발을 들여놓다,N1,to step into; to break into; to go deep
33021,踏む,ふむ,후무,밟다,N4,to step on; to tread; to experience
8966,窮屈,きゅうくつ,큐우쿠츠,궁굴(비좁음),N1,Narrow; tight; formal; stiff
12015,高原,こうげん,코우겐,고원,N2,Plateau; tableland
40748,恋愛,れんあい,렌아이,연애,N3,love; romance
29326,歯,は(し),하(시),이(치),N4,Tooth
8092,学究,がっきゅう,갓큐우,학구,N1,Scholar; student
6883,叶える,かなえる,카나에루,이루다,N2,To grant (a wish); to fulfill
5615,甲斐,かい,카이,보람,N1,Worth; effect; result
87854,分かち合う,わかちあう,와카치아우,분담하다,N2,To share
2465,今一,いまいち,이마이치,그저그런것,N1,Not quite; somewhat lacking
27155,動物,どうぶつ,도우부츠,동물,N5,animal
3468,裏目,うらめ,우라메,"뒷면,틀어짐",N1,Contrary result; opposite of what was intended
13355,合格,ごうかく,고우카쿠,합격,N5,Passing an exam; success
1412,案の定,あんのじょう,안노죠우,아니나 다를까,N1,As expected; sure enough
25728,出る,でる,데루,나오다,N6,"to go out, to appear, to leave"
26217,蜥蜴,とかげ,토카게,도마뱀,N2,lizard
17005,所詮,しょせん,쇼센,결국,N1,"after all, in the end"
24744,詰まる,つまる,츠마루,꽉 차다,N4,"to be blocked, to be packed, to be short of"
61478,俗世,ぞくせ,조쿠세,속세,N1,The mundane world; secular life
24584,漬け物,つけもの,츠케모노,절임,N1,"pickles, pickled vegetables"
1670,生き甲斐,いきがい,이키가이,사는 보람,N1,Something worth living for
1649,息,いき,이키,숨,N5,Breath; breathing
22346,只今,ただいま,타다이마,지금,N3,"presently, right now, ""I'm home"""
11933,交歓,こうかん,코우칸,"교류,교환",N1,Exchange of courtesies; fraternization
71247,嫌らしい,いやらしい,이야라시이,불쾌한,N1,Disgusting; lewd; unpleasant
35587,負け,まけ,마케,패배,N2,defeat; loss
19971,製品,せいひん,세이힌,제품,N5,"manufactured goods, product"
19355,素早い,すばやい,스바야이,재빠르다,N3,"quick, nimble, agile"
10405,暗い,くらい,쿠라이,어둡다,N5,Dark; gloomy
38855,ゆったり,ゆったり,윳타리,느긋히,N2,comfortable; loose; relaxed
42887,蛹,さなぎ,사나기,번데기,N2,pupa; chrysalis
15693,渋々,しぶしぶ,시부시부,마지못해,N3,Reluctantly; grudgingly
13359,号泣,ごうきゅう,고우큐으,엉엉울다,N1,Wailing; crying aloud
10207,口コミ,くちこみ,쿠치코미,입소문,N1,Word of mouth
9086,究明,きゅうめい,큐우메이,규명,N1,Investigation; clarify; study
49062,蟷螂,かまきり,카마키리,사마귀,N2,praying mantis
9083,急務,きゅうむ,큐우무,급선무,N2,Urgent business; pressing need
67485,召し上がる,めしあがる,메시아가루,드시다,N2,To eat/drink (honorific)
50532,気紛れ,きまぐれ,키마구레,변덕쟁이,N1,whim; caprice; fickle
36126,満員,まんいん,만인,만원,N3,full (of people); no vacancy
99159,坪数,つぼすう,츠보스우,평수,N1,Area in tsubo
45873,喫緊,きっきん,킷킨,"끽긴, 매우 절박함",N1,urgent; pressing
7374,川岸,かわぎし,카와기시,강가,N2,Riverbank; riverside
51393,総監,そうかん,소우칸,총감,N1,superintendent general
9553,麒麟,きりん,키린,기린,N4,Giraffe; Qilin (mythical beast)
7691,観測,かんそく,칸소쿠,관측,N2,Observation; survey; measurement
4809,奥,おく,오쿠,안쪽,N5,Interior; inner part; back
23945,蝶,ちょう,쵸우,나비,N4,butterfly
20222,接着,せっちゃく,셋챠쿠,접착,N1,"adhesion, bonding"
10319,首,くび,쿠비,목,N4,Neck; head; dismissal
