"jp_text","kr_text"
この橋の構造について、エンジニアがわかりやすく説明してくれた。,이 다리의 구조에 대해 엔지니어가 알기 쉽게 설명해 주었다.
会議中、部長は不在だった。,회의 중에는 부장이 부재였다.
昨日は一日中雨が降っていました。,어제는 하루 종일 비가 내렸습니다。
作文の宿題で、夏の思い出を書いた。,작문 숙제로 여름의 추억을 썼다.
廊下は走らないで、静かに歩きましょう。,복도에서는 뛰지 말고 조용히 걸읍시다.
朝起きて、まず水道の水を一杯飲む。,아침에 일어나서 먼저 수도물을 한 잔 마신다.
バスが来るまでここで待ちます。,버스가 올 때까지 여기서 기다립니다。
便利にはなりましたが、昔ながらの景色が消えていくのは少し寂しいですね。,"편리해지기는 했지만, 옛날의 풍경이 사라져 가는 것은 조금 쓸쓸하네요."
魔法使いが竜を召喚した。,마법사가 용을 소환했다。
公園で犬と一緒に走ります。,공원에서 개와 함께 달립니다。
負債を減らすために事業を縮小した。,부채를 줄이기 위해 사업을 축소했다.
野球部は冬の間、下半身を鍛えるために徹底的な走り込みを行う。,야구부는 겨울 동안 하반신을 단련하기 위해 철저한 러닝 훈련을 실시한다.
この学部は社会人にも門戸を開いている。,이 학부는 직장인에게도 문호를 개방하고 있다.
親は子の健康を憂えるあまり、夜中に何度も様子を見に行った。,부모는 아이의 건강을 걱정한 나머지 한밤중에 여러 번 상태를 보러 갔다.
後ほど、改めてご挨拶に伺います。,"잠시 후, 다시 인사드리러 가겠습니다."
彼はその政権による迫害から逃れるために国を出た。,그는 그 정권의 박해를 피해 나라를 떠났다.
昨夜は睡眠時間が短く、とても眠い。,어젯밤은 수면 시간이 짧아서 매우 졸리다.
今回のセミナーには専門家を講師として招いた。,이번 세미나에는 전문가를 강사로 초청했다.
質実なデザインがかえって信頼感を与える。,소박하고 실속 있는 디자인이 오히려 신뢰감을 준다.
大きい犬も小さい犬も、どっちも可愛い。,"큰 개도 작은 개도, 둘 다 귀여워."
遠足で動物園に行きました。,소풍으로 동물원에 갔습니다.
公衆トイレはみんなで清潔に使いましょう。,공중 화장실은 모두가 깨끗이 사용합시다.
これからの世界がどうなっていくのか、少し不安に思う時があります。,"앞으로의 세계가 어떻게 될 것인지, 조금 불안하게 느껴질 때가 있습니다."
私は数学の問題を解くのが好きだ。,나는 수학 문제를 푸는 것을 좋아한다.
信用を失うのは一瞬だが、取り戻すのは難しい。,신용을 잃는 것은 한순간이지만 되찾기는 어렵다.
子どもたちは七夕の歌を歌いながら、星を探した。,아이들은 칠석 노래를 부르며 별을 찾았다.
彼はなんて図々しい人なんだろう。,그는 어쩜 저렇게 뻔뻔스러운 사람일까.
寺に布施を納めて、手を合わせた。,절에 보시를 드리고 두 손을 모았다.
祭りの日、稚児が鈴を鳴らして笑った。,축제 날 의식복을 입은 아이가 방울을 울리며 웃었다.
耳でよく聞きましょう。,귀로 잘 들읍시다.
田中さんのことは、山田さんからよく伺っています。,다나카 씨에 대해서는 야마다 씨에게서 자주 듣고 있습니다.
新製品の広告が駅のあちこちに貼られている。,신제품 광고가 역 곳곳에 붙어 있다.
今月の末に、家賃を払わなければならない。,이달 말에 집세를 내야 한다.
口を大きく開けて、歌を歌います。,입을 크게 벌리고 노래를 부릅니다.
自分でできることは、自分でやりましょう。,스스로 할 수 있는 일은 스스로 합시다.
この問題の意味が分かりません。,이 문제의 의미를 모르겠습니다.
彼の研究は環境保護に大きく貢献している。,그의 연구는 환경 보호에 크게 공헌하고 있다.
本当のことを話してください。,진실을 말해주세요.
祖母の寿を祝い、みんなで乾杯した。,할머니의 수(장수)를 축하하며 다 함께 건배했다.
風が強かったので、首にスカーフを巻いた。,바람이 강해서 목에 스카프를 둘렀다.
高度経済成長の裏では、公害も深刻化していた。,고도 경제 성장의 이면에서는 공해도 심각해지고 있었다.
この谷では棚田での耕作が今も続いている。,이 골짜기에서는 계단식 논에서의 경작이 지금도 이어지고 있다.
生まれた子に「海斗」と名付けた。,태어난 아이에게 ‘카이토’라고 이름 지었다.
地域ぐるみで少年の非行を防ぐ取り組みをしている。,지역 차원에서 소년 비행을 막기 위한 노력을 하고 있다.
夏の夜は花火をします。,여름밤에는 불꽃놀이를 합니다.
教育的見地から、その映像は放送されなかった。,교육적인 견지에서 그 영상은 방영되지 않았다.
子どもを甘やかすばかりでは、自分で考える力が育たない。,아이를 달래기만 하면 스스로 생각하는 힘이 자라지 않는다.
八百屋さんで野菜を買います。,야채 가게에서 채소를 삽니다.
渋が強い茶は、少し冷ますと飲みやすい。,떫은맛이 강한 차는 조금 식히면 마시기 쉽다.
焦らないこと。自分のペースで、自分が信じる道を進むのが一番だよ。,조급해하지 않는 것. 자신의 페이스대로 자신이 믿는 길을 나아가는 것이 최고야.
原油価格の変動が世界経済に大きな影響を与える。,원유 가격의 변동이 세계 경제에 큰 영향을 준다.
冬になると手がひどく荒れてしまう。,겨울이 되면 손이 심하게 텄다.
科学の実験はわくわくします。,과학 실험은 두근두근합니다.
ここは昔は畑だったが、今では草だらけの荒れ地だ。,이곳은 예전에는 밭이었지만 지금은 잡초뿐인 황무지다.
米寿のお祝いに、黄色いちゃんちゃんこを贈った。,미수(88세) 축하로 노란 조끼(찬찬코)를 선물했다.
我慢にも限度があることを分かってほしい。,참음에도 한도가 있다는 걸 알아 줬으면 한다.
けがをしたので、学校の保健室で手当てをしてもらった。,다쳐서 학교 보건실에서 치료를 받았다.
元首が公式訪問のために隣国を訪れた。,원수가 공식 방문을 위해 인접국을 찾았다.
いらっしゃい。初めてのお客さんだね。,어서 와. 처음 보는 손님이네.
いつもありがとうございます。,항상 감사합니다.
子供たちは泥だらけになって、夢中で泥遊びを楽しんでいる。,"아이들은 진투성이가 되어, 정신없이 진흙 놀이를 즐기고 있다."
彼は一晩で草稿を書き上げ、翌日に推敲を始めた。,그는 하룻밤 만에 초고를 써 올리고 다음 날 퇴고를 시작했다.
木枯らしが吹き、街路樹の葉が一気に散った。,나뭇잎을 말리는 찬바람이 불어 가로수의 잎이 한꺼번에 흩어졌다.
彼女は難病と闘って、少しずつ回復している。,그녀는 난치병과 싸우며 조금씩 회복하고 있다.
服装で自分の個性を表現したい。,옷차림으로 자신의 개성을 표현하고 싶다.
今回の調査結果は統計から除外された。,이번 조사 결과는 통계에서 제외되었다.
木の上に鳥の巣があります。,나무 위에 새 둥지가 있습니다.
理想の年の取り方って、どんなだと思いますか？,이상적인 나이 듦이란 어떤 것이라고 생각하세요?
いつまでも好奇心を忘れずに、新しいことに挑戦し続ける人でありたいですね。,언제까지나 호기심을 잊지 않고 새로운 것에 계속 도전하는 사람이고 싶네요.
美しい放物線を描いたシュートが、リングに吸い込まれていきます。,"아름다운 포물선을 그린 슛이, 링으로 빨려 들어갑니다."
兵士は小銃を肩にかけ、巡回に出た。,병사는 소총을 어깨에 메고 순찰에 나섰다.
先生のほうを見てください。,선생님 쪽을 보세요.
赤ちゃんを優しくぎゅっと抱きしめた。,아기를 부드럽게 꼭 껴안았다.
友達と一緒におにごっこをして遊ぶ。,친구와 함께 술래잡기를 하며 논다.
その話は外に出すな、と上司に念を押された。,그 이야기는 밖에 내보내지 말라고 상사에게 거듭 당부받았다.
土曜日は、朝からアニメを見る。,토요일은 아침부터 애니메이션을 본다.
〇〇社の佐藤様でいらっしゃいますね。,〇〇사의 사토 님이시군요.
女の子たちが縄跳びをしている。,여자아이들이 줄넘기를 하고 있다.
母の作る料理は世界一です。,어머니가 만드시는 요리는 세계 최고입니다.
一緒のテーブルになりましたね。よろしくお願いします。,같은 테이블이 되었네요. 잘 부탁드립니다.
険しい山道を登って、ようやく山頂にたどり着いた。,험한 산길을 올라 겨우 정상에 도착했다.
地震で倒壊した街の再建が少しずつ進んでいる。,지진으로 붕괴된 마을의 재건이 조금씩 진행되고 있다.
心身ともに健康であることが一番だ。,심신 모두 건강한 것이 최고다.
インターネットに接続して、最新のニュースを確認する。,인터넷에 접속해서 최신 뉴스를 확인한다.
時計が狂うと、一日の予定がすべて乱れてしまう。,시계가 틀어지면 하루 일정이 전부 어긋나 버린다.
去年の夏は、とても暑かった。,작년 여름은 매우 더웠다.
人の努力をすぐ貶すのはよくない。,다른 사람의 노력을 금방 깎아내리는 것은 좋지 않다.
一つ、二つ、三つと、おはじきを数える。,"하나, 둘, 셋 하고 구슬을 세다."
お片付けをしたら、おやつを食べようねと約束した。,정리 정돈을 하면 간식을 먹자고 약속했다.
諸君、今日は最後までしっかり聞いてほしい。,"제군들, 오늘은 끝까지 잘 들어주기 바란다."
彼は愛情に飢えていた子ども時代を振り返った。,그는 애정에 굶주렸던 어린 시절을 회상했다.
保育園に行く前に、「行ってきます」と手を振った。,"어린이집에 가기 전에 ""다녀오겠습니다""라며 손을 흔들었다."
避暑のために高原のペンションに泊まった。,피서를 위해 고원의 펜션에 묵었다。
新しいメンバーがプロジェクトに加わることになった。,새 멤버가 프로젝트에 합류하게 되었다.
春になると桜が咲きます。,봄이 되면 벚꽃이 핍니다。
切符を買って、電車に乗ります。,표를 사서 전철을 탑니다.
専門家の助言を受けて計画を見直した。,전문가의 조언을 받아 계획을 재검토했다.
親に連絡もせず心配をかけるのは不孝だ。,부모에게 연락도 하지 않아 걱정을 끼치는 것은 불효이다.
路上でパフォーマンスをする人たちに人だかりができていた。,길거리에서 퍼포먼스를 하는 사람들에게 인파가 몰려 있었다.
どうも最近集中力が続かなくて困っている。,요즘 영 집중력이 안 이어져서 고민이야.
悪いことをした後は、「ごめんなさい」と謝った。,"나쁜 짓을 한 뒤에는 ""미안합니다""라고 사과했다."
こちらの用紙にご記入ください。,이쪽 용지에 기입해 주십시오.
今は忙しいから、あとでゆっくり話そう。,지금은 바쁘니까 나중에 천천히 이야기하자.
昔の役所では、書類を謄写して記録に残した。,옛 관청에서는 서류를 베껴 써서 기록으로 남겼다.
カメラの瞬き検出が働いて、写真が撮り直しになった。,카메라의 눈깜빡임 감지가 작동해 사진을 다시 찍게 됐다.
既に決まった方針を今から覆すのは難しい。,이미 정해진 방침을 지금 뒤집기는 어렵다.
お腹いっぱい食べて、「ごちそうさまでした」。,"배불리 먹고 ""잘 먹었습니다""."
離れ島の宿は星空が格別だった。,외딴 섬의 숙소는 별하늘이 각별했다.
家で宿題の勉強をします。,집에서 숙제 공부를 합니다.
赤い車がブーブーって走ってる。,빨간 자동차가 빵빵하고 달리고 있어.
島民たちは台風に備えて船を固定した。,섬 주민들은 태풍에 대비해 배를 고정했다.
この国は資源の少ない島国だ。,이 나라는 자원이 적은 섬나라다.
朝は元気に「おはよう」と挨拶をする。,"아침에는 활기차게 ""좋은 아침""이라고 인사를 한다."
姉が絵本を読んでくれた。,누나가 그림책을 읽어주었다.
藤色のストールが、春の服にぴったりだった。,등색(연보라)의 숄이 봄옷에 딱 어울렸다.
彼はまだ若いが、白髪が目立つ。,그는 아직 젊지만 흰머리가 눈에 띈다.
彼は社会的なスティグマを恐れて、真実を話せなかった。,그는 사회적인 낙인을 두려워하여 진실을 말하지 못했다.
彼の現在の所在は誰も知らない。,그의 현재 소재는 아무도 모른다.
図書館の中では静かにしてください。,도서관 안에서는 조용히 해주세요.
最近、夜泣きがひどくて寝不足だ。,요즘 밤에 우는 것이 심해서 잠이 부족하다.
擂り鉢で胡麻を擂ると、いい香りがする。,절구(스리바치)로 깨를 갈면 좋은 향기가 난다.
飼っていたペットが死んで悲しいです。,키우던 반려동물이 죽어서 슬픕니다.
好きなキャラクターが嬉しい顔をしています。,좋아하는 캐릭터가 기쁜 얼굴을 하고 있습니다.
彼は、離婚をめぐって妻と訴訟を起こしている。,그는 이혼을 둘러싸고 아내와 소송을 벌이고 있다.
水道の管が古くなって取り替えが必要だ。,수도관이 오래돼서 교체가 필요하다.
赤ちゃんのために、安全な環境を整えることが大切だ。,아기를 위해 안전한 환경을 조성하는 것이 중요하다.
雪道での走行は、スリップしやすく危険だ。,눈길 주행은 미끄러지기 쉬워 위험하다.
安全第一という原則を忘れてはいけない。,안전 제일이라는 원칙을 잊어서는 안 된다.
パパにおんぶされて、嬉しそうだ。,아빠에게 업혀서 기쁜 듯하다.
丸い月が空に浮かんでいます。,둥근 달이 하늘에 떠 있습니다.
川で魚が泳いでいるのが見えます。,강에서 물고기가 헤엄치고 있는 것이 보입니다.
彼は掌中のスマホを見つめたまま、返事を迷っていた。,그는 손바닥 안의 스마트폰을 바라본 채 답장을 망설였다.
アニメが好きで、よく見ます。,애니메이션을 좋아해서 자주 봅니다.
女の子が花に水をやっています。,여자아이가 꽃에 물을 주고 있습니다.
作り置きは小分けして冷凍すると便利だ。,만든 반찬은 소분해 냉동하면 편리하다.
口座の不正利用を疑い、カードを凍結した。,계좌의 부정 사용을 의심해 카드를 동결했다.
新入社員は朝から張り切って仕事をしている。,신입사원은 아침부터 의욕적으로 일을 하고 있다.
彼は自分の祖先が有名な侍だと自慢している。,그는 자신의 조상이 유명한 사무라이라고 자랑하고 있다.
山中での遭難は凍死の危険が高い。,산중 조난은 동사 위험이 크다.
赤ちゃんの笑顔は家族みんなを幸せにする。,아기의 웃는 얼굴은 온 가족을 행복하게 한다.
ベビーベッドで一人で眠れるようになった。,아기 침대에서 혼자 잠들 수 있게 되었다.
人見知りが始まって、知らない人を見ると泣いてしまう。,낯가림이 시작되어 모르는 사람을 보면 울어버린다.
図書館の静かな書架の間を、気になる本を探して歩いた。,도서관의 고요한 서가 사이를 마음에 드는 책을 찾으며 걸었다.
今日は赤ちゃんの予防接種の日だ。,오늘은 아기 예방접종일이다.
公園の砂場で泥だらけになって遊んだ。,공원 모래밭에서 흙투성이가 되어 놀았다.
窓から外の景色を見ます。,창문으로 바깥 경치를 봅니다.
キャンプで、みんなで焚き火を囲んで歌を歌った。,캠프에서 다 함께 모닥불을 둘러싸고 노래를 불렀다.
彼女は成功しても決して自慢せず、いつも謙虚だ。,그녀는 성공해도 절대 잘난 체하지 않고 항상 겸손하다.
教師たちは学校の風紀の乱れを心配している。,교사들은 학교 풍기의 문란을 걱정하고 있다.
いやいや、こちらこそ。また来るよ。,"아니에요, 저야말로. 또 올게요."
食べ物を粗末にしないでください。,음식을 함부로(소홀히) 대하지 마세요.
お互いに少しずつ妥協して、合意点を見つけた。,서로 조금씩 타협해서 합의점을 찾았다.
毎朝コップ一杯の水を飲む。,매일 아침 컵 한 잔의 물을 마신다.
被災地への募金活動が駅前で行われた。,재해 지역을 위한 모금 활동이 역 앞에서 열렸다.
義理で参加した飲み会だったが、意外と楽しかった。,의리로 참석한 술자리였지만 의외로 즐거웠다.
山の上では冷たい気流が頬を打った。,산 위에서는 차가운 기류가 뺨을 스쳤다.
浴室の壁は、青いタイルで装飾されている。,욕실 벽은 파란 타일로 장식되어 있다.
階段で足を滑らせて倒れるところだった。,계단에서 발이 미끄러져 넘어질 뻔했다.
若い頃からジャズに傾倒している。,젊을 때부터 재즈에 심취해 있다.
彼女は淑女らしく、丁寧にお辞儀をした。,그녀는 숙녀답게 정중히 인사했다.
おしゃぶりがないと、なかなか寝付けない。,공갈 젖꼭지가 없으면 좀처럼 잠들지 못한다.
締め切りまであと三日しか残っていない。,마감까지 이제 사흘밖에 남지 않았다.
仕事が終わったらまっすぐ家に帰るつもりだ。,일이 끝나면 곧장 집에 돌아갈 생각이다.
彼の演説は聴衆を圧倒した。,그의 연설은 청중을 압도했다.
祖父の財産を相続することになった。,할아버지의 재산을 상속하게 되었다.
静かに本を読むなら図書館がいいです。,조용히 책을 읽으려면 도서관이 좋습니다。
じっくり考えれば、今やるべきことはそれほど多くないと分かる。,차분히 생각해 보면 지금 해야 할 일은 그리 많지 않다는 걸 알게 돼.
工事現場の音が騒々しくて集中できない。,공사 현장 소리가 시끄러워서 집중할 수 없다.
健康のために体力をつけたい。,건강을 위해 체력을 기르고 싶다.
日本の伝統的な部屋には畳が敷かれている。,일본의 전통적인 방에는 다다미가 깔려 있다.
よだれかけのおかげで、服が汚れずに済んだ。,턱받이 덕분에 옷이 더러워지지 않고 끝났다.
はい、山田ですが...どちら様でしたっけ？,"네, 야마다입니다만... 누구셨더라?"
そんな下品な冗談はやめてくれないか。,그런 저속한 농담은 그만해 줄래?
テーブルの真ん中に花瓶を置いた。,테이블 한가운데에 꽃병을 놓았다.
彼、今日はなんだか様子が変だね。,걔 오늘 뭔가 상태가 이상하네.
寝ている時の顔はまるで天使のようだ。,자고 있을 때의 얼굴은 마치 천사 같다.
夏は髪を短く切ります。,여름에는 머리를 짧게 자릅니다。
口をもぐもぐさせて、何か言いたそうだ。,입을 오물거리며 무언가 말하고 싶어하는 것 같다.
残りの席はわずかです。,남은 좌석은 얼마 없습니다.
親しい友だちと久しぶりに会って話し込んだ。,오랫동안 못 만난 친한 친구와 오랜만에 만나 수다를 떨었다.
医者が患者の胸に聴診器を当てて聴診している。,의사가 환자의 가슴에 청진기를 대고 청진하고 있다.
広い公園でサッカーをします。,넓은 공원에서 축구를 합니다。
彼の表情が変わる場面が特に印象的だった。,그의 표정이 바뀌는 장면이 특히 인상적이었다.
乳歯が抜けて、枕の下にそっと置いた。,유치가 빠져서 베개 밑에 살짝 두었다.
山で遭難しかけた災難を、今でも夢に見る。,산에서 조난당할 뻔한 재난을 지금도 꿈에서 본다.
追試の通知が来て、胸がどきっとした。,재시험 통지가 와서 가슴이 철렁했다.
見たい番組があるので、テレビのチャンネルを回した。,보고 싶은 방송이 있어서 TV 채널을 돌렸다.
寒い日はお風呂にゆっくり入ります。,추운 날에는 욕조에 느긋하게 들어갑니다。
我が家の長女は、今年で二十歳になりました。,우리 집 큰딸이 올해로 스무 살이 되었습니다.
古文の授業で、江戸時代の候文の手紙を読み解いた。,고문 수업에서 에도 시대의 후보문 편지를 해독했다.
厳密に言えば、その二つは同じ意味ではない。,엄밀히 말하면 그 둘은 같은 의미가 아니다.
雌しべに花粉が付くと、実ができる。,암술머리에 꽃가루가 붙으면 열매가 맺힌다.
巨大なクレーンがビルの建設現場で動いている。,거대한 크레인이 빌딩 건설 현장에서 움직이고 있다.
みんなで一緒に歌を歌いましょう。,다 함께 노래를 부릅시다。
火山の岩石を採取して成分を調べた。,화산암을 채취해 성분을 조사했다.
キラキラした目で、新しい世界を見つめている。,반짝이는 눈으로 새로운 세상을 바라보고 있다.
ママの鼻を触るのが好きみたい。,엄마 코를 만지는 것을 좋아하는 것 같다.
荷物の重量が制限を5キロも超過してしまった。,짐 무게가 제한을 5킬로그램이나 초과해 버렸다.
お風呂の時間だよ。アヒルのおもちゃで遊ぼう。,목욕 시간이야. 오리 장난감 가지고 놀자.
寺で経文を写し、心が静まった。,절에서 경문을 옮겨 적으며 마음이 가라앉았다.
風が強くて、木が揺れています。,바람이 강해서 나무가 흔들리고 있습니다。
虫を逃がしてあげたら、窓の外へ飛んでいった。,벌레를 놓아주니 창밖으로 날아갔다.
彼の浅ましい根性には、ほとほと嫌気がさした。,그의 한심스러운 근성에는 아주 싫증이 났다.
西の空に夕日が沈んでいきます。,서쪽 하늘로 저녁 해가 지고 있습니다.
新しい家族が増えて、家の中がにぎやかになった。,새로운 가족이 늘어 집안이 활기차졌다.
目をこすっているから、もう眠いんだね。,눈을 비비는 걸 보니 이제 졸린 거구나.
あの映画は世界中で愛されている名作だ。,그 영화는 전 세계에서 사랑받는 명작이다.
自由な言論は民主主義の土台だ。,자유로운 언론은 민주주의의 토대이다.
医師が内視鏡で喉頭の状態を詳しく観察した。,의사가 내시경으로 후두 상태를 자세히 관찰했다.
このジュースは、合成着色料を一切使用していません。,이 주스는 합성 착색료를 일절 사용하지 않았습니다.
彼は事故当時の状況を警察に詳しく口述した。,그는 사고 당시 상황을 경찰에 자세히 구두 진술했다.
彼は交通事故で足を負傷し、現在入院している。,그는 교통사고로 다리를 부상당해 현재 입원 중이다.
この装置は顕微レベルの微細な動きも測定できる。,이 장치는 현미 수준의 미세한 움직임도 측정할 수 있다.
新婚の二人は、毎日が幸せそうで、見ているこちらも微笑ましい。,신혼인 두 사람은 매일 행복해 보여서 보는 이쪽도 미소가 지어진다.
今昔の違いを比べる展示が面白い。,지금과 옛날의 차이를 비교하는 전시가 재미있다.
病気は、薬を飲んで大分よくなりました。,병은 약을 먹고 상당히 좋아졌습니다.
赤ちゃんの可愛い瞬間を写真に残しておきたい。,아기의 귀여운 순간을 사진으로 남겨두고 싶다.
子供向けの歌に合わせて、楽しそうに体を揺らしている。,어린이용 노래에 맞춰 즐겁게 몸을 흔들고 있다.
テレビのダンスを真似して、上手に踊っている。,텔레비전 댄스를 흉내 내며 곧잘 춤추고 있다.
赤ちゃんのために、肌触りの良い服を選んだ。,아기를 위해 감촉이 좋은 옷을 골랐다.
ああ、鈴木さん！ご無沙汰しています。,"아아, 스즈키 씨! 오랜만입니다."
飛行機は無事、定刻通りに空港に着陸した。,비행기는 무사히 정시대로 공항에 착륙했다.
小さなカフェを開いて、自分の好きな本を置き、お客様と語り合うのが夢です。,"작은 카페를 열어서 제가 좋아하는 책들을 두고, 손님들과 이야기를 나누는 것이 꿈입니다."
彼は日記に、その日の出来事を細かく記していた。,그는 일기에 그날의 일을 자세히 적고 있었다.
工場に入る前に安全講習を受けなければならない。,공장에 들어가기 전에 안전 강습을 받아야 한다.
打ち捨てられた古い寺は、静かに朽ちていく運命にあった。,버려진 오래된 절은 조용히 썩어가는 운명이었다.
将来の夢とか、これから挑戦してみたいことはありますか？,"장래 희망이라든가, 앞으로 도전해보고 싶은 것이 있나요?"
洗剤が残らないようによく濯いでください。,세제가 남지 않도록 잘 헹궈주세요.
日本語のものを数えるときには、助数詞の使い分けが難しい。,일본어로 사물을 셀 때는 조수사의 구분이 어렵다.
日差しが強いから、帽子をかぶって出かけようね。,햇볕이 강하니까 모자를 쓰고 나가자.
今日は一日中、とてもお利口さんでしたね。,오늘은 하루 종일 정말 착했네요.
人生の先輩として、何かアドバイスをいただけますか？,"인생의 선배로서, 무언가 조언을 해주실 수 있나요?"
そういう出会いがあるから、旅はやめられませんね。,그런 만남이 있으니까 여행을 그만둘 수가 없네요.
赤ちゃんを腕に抱いて優しく揺らした。,아기를 팔에 안고 부드럽게 흔들었다.
寝る前に「おやすみなさい」と言った。,"자기 전에 ""안녕히 주무세요""라고 말했다."
哺乳瓶でミルクを飲む時間が一番好きみたい。,젖병으로 우유를 마시는 시간을 가장 좋아하는 것 같아.
冷めたご飯を電子レンジで温める。,식은 밥을 전자레인지로 데운다.
この店は生ビールが美味い。,이 가게는 생맥주가 맛있다.
カラフルなおもちゃで遊ぶのが大好きだ。,알록달록한 장난감으로 노는 것을 아주 좋아한다.
台風接近のため、本日は臨時休業します。,태풍 접근으로 인해 오늘은 임시 휴업합니다.
アメリカ合衆国は50州からなる連邦国家だ。,미합중국은 50개 주로 이루어진 연방 국가다.
うちの子は本当に何をしても可愛い。,우리 아기는 정말 뭘 해도 귀여워.
彼は三回連続で優勝した。,그는 3회 연속으로 우승했다.
久しぶりに母校を訪れたら、懐かしい思い出が蘇ってきた。,오랜만에 모교를 방문했더니 그리운 추억이 되살아났다.
子供の成長は本当にあっという間だ。,아이의 성장은 정말 순식간이다.
週末は家でゆっくり過ごすか、或いは友人と出かけるつもりだ。,"주말에는 집에서 느긋이 지내거나, 혹은 친구들과 나갈 생각이다."
冬になると咽喉の痛みを訴える患者が増える。,겨울이 되면 인후통을 호소하는 환자가 늘어난다.
良いお天気になりましたね。,날씨가 좋아졌네요.
漁師が大きなマグロを釣り上げた。,어부가 커다란 참치를 낚아 올렸다.
コンビニは家の近くにあって便利です。,편의점은 집 근처에 있어서 편리합니다。
正月に祖母が甘い煮豆を作ってくれた。,설날에 할머니가 달콤한 조림콩을 만들어 주셨다.
はやく おうちへ かえろう。,빨리 집으로 돌아가자.
むかしむかし、あるところに おじいさんと おばあさんが いました。,옛날 옛적에 어느 곳에 할아버지와 할머니가 있었습니다.
青い空が広がっています。,푸른 하늘이 펼쳐져 있습니다.
日照りが続いて、畑の土がひび割れている。,가뭄이 계속돼 밭의 흙이 갈라져 있다.
私は、松本です。あなたは？,저는 마츠모토입니다. 당신은요?
彼は母国を離れ、遠い異国で新しい生活を始めた。,그는 모국을 떠나 먼 이국에서 새로운 생활을 시작했다.
会場には東西からファンが集まった。,회장에는 동서에서 팬들이 모였다.
またお会いできて嬉しいです。,다시 뵙게 되어 기쁩니다.
お父さんは毎朝コーヒーを飲む。,아버지는 매일 아침 커피를 드신다.
労働条件の改善を求めて、工場の従業員がストライキを起こした。,노동 조건 개선을 요구하며 공장 직원들이 파업을 일으켰다.
